sector|month|day|hour|hum_value|temp_value|co_value|no2_value|voc_value|so2_value|pm2_5_value|station_num|factory_num|construction_num|pm10_value
1|8|4|0|0.691015|0.521495|1.000000|0.416111|0.056374|0.537857|0.155294|0.500000|1.000000|0.000000|0.163892
1|8|4|1|0.582418|0.586884|0.000000|0.444444|0.008969|0.142857|0.166667|0.500000|1.000000|0.000000|0.194969
1|8|4|2|0.368742|0.787122|0.277780|0.428000|0.032743|0.317429|0.103704|0.500000|1.000000|0.000000|0.115304
1|8|4|3|0.472527|0.652743|1.000000|0.444444|0.006406|0.428571|0.140000|0.500000|1.000000|0.000000|0.144654
1|8|4|4|0.472527|0.652743|1.000000|0.444444|0.006406|0.428571|0.140000|0.500000|1.000000|0.000000|0.144654
1|8|4|5|0.472527|0.652743|1.000000|0.444444|0.006406|0.428571|0.140000|0.500000|1.000000|0.000000|0.144654
1|8|4|6|0.472527|0.652743|1.000000|0.444444|0.006406|0.428571|0.140000|0.500000|1.000000|0.000000|0.144654
1|8|4|7|0.670330|0.552957|0.500000|0.407407|0.263933|0.142857|0.113333|0.500000|1.000000|0.000000|0.119497
1|8|4|8|0.461538|0.706628|1.000000|0.481481|0.073030|0.428571|0.166667|0.500000|1.000000|0.000000|0.169811
1|8|4|9|0.604396|0.590876|0.500000|0.518519|0.006406|0.428571|0.193333|0.500000|1.000000|0.000000|0.201258
1|8|4|10|0.604396|0.590876|0.500000|0.518519|0.006406|0.428571|0.193333|0.500000|1.000000|0.000000|0.201258
1|8|4|11|0.604396|0.590876|0.500000|0.518519|0.006406|0.428571|0.193333|0.500000|1.000000|0.000000|0.201258
1|8|4|12|0.604396|0.590876|0.500000|0.518519|0.006406|0.428571|0.193333|0.500000|1.000000|0.000000|0.201258
1|8|4|13|0.681319|0.548965|0.500000|0.407407|0.368994|0.428571|0.013333|0.500000|1.000000|0.000000|0.012579
1|8|4|14|0.681319|0.548965|0.500000|0.407407|0.368994|0.428571|0.013333|0.500000|1.000000|0.000000|0.012579
1|8|4|15|0.681319|0.548965|0.500000|0.407407|0.368994|0.428571|0.013333|0.500000|1.000000|0.000000|0.012579
1|8|4|16|0.681319|0.548965|0.500000|0.407407|0.368994|0.428571|0.013333|0.500000|1.000000|0.000000|0.012579
1|8|4|17|0.318681|0.820384|0.500000|0.555556|0.075593|0.000000|0.180000|0.500000|1.000000|0.000000|0.176101
1|8|4|18|0.373626|0.762508|1.000000|0.444444|0.243434|0.571429|0.153333|0.500000|1.000000|0.000000|0.144654
1|8|4|19|0.406593|0.752530|0.500000|0.407407|0.029468|0.571429|0.113333|0.500000|1.000000|0.000000|0.113208
1|8|4|20|0.406593|0.752530|0.500000|0.407407|0.029468|0.571429|0.113333|0.500000|1.000000|0.000000|0.113208
1|8|4|21|0.388278|0.747208|0.833335|0.518519|0.035020|0.095286|0.075556|0.500000|1.000000|0.000000|0.073375
1|8|4|22|0.388278|0.747208|0.833335|0.518519|0.035020|0.095286|0.075556|0.500000|1.000000|0.000000|0.073375
1|8|4|23|0.529670|0.657134|1.000000|0.538259|0.122998|0.176143|0.113556|0.500000|1.000000|0.000000|0.116771
1|8|5|0|0.566466|0.642314|0.983870|0.518519|0.190531|0.202714|0.086022|0.500000|1.000000|0.000000|0.087847
1|8|5|1|0.483516|0.676692|1.000000|0.555556|0.051249|0.142857|0.140000|0.500000|1.000000|0.000000|0.144654
1|8|5|2|0.483516|0.678688|0.000000|0.555556|0.053812|0.285714|0.113333|0.500000|1.000000|0.000000|0.106918
1|8|5|3|0.630037|0.610833|1.000000|0.456778|0.243007|0.333286|0.082222|0.500000|1.000000|0.000000|0.085954
1|8|5|4|0.574810|0.639080|0.461540|0.521370|0.194550|0.285714|0.073333|0.500000|1.000000|0.000000|0.069182
1|8|5|5|0.574810|0.639080|0.461540|0.521370|0.194550|0.285714|0.073333|0.500000|1.000000|0.000000|0.069182
1|8|5|6|0.574810|0.639080|0.461540|0.521370|0.194550|0.285714|0.073333|0.500000|1.000000|0.000000|0.069182
1|8|5|7|0.461538|0.732572|1.000000|0.407407|0.006406|0.428571|0.213333|0.500000|1.000000|0.000000|0.213836
1|8|5|8|0.461538|0.732572|1.000000|0.407407|0.006406|0.428571|0.213333|0.500000|1.000000|0.000000|0.213836
1|8|5|9|0.428571|0.752530|1.000000|0.407407|0.006406|0.571429|0.080000|0.500000|1.000000|0.000000|0.081761
1|8|5|10|0.428571|0.752530|1.000000|0.407407|0.006406|0.571429|0.080000|0.500000|1.000000|0.000000|0.081761
1|8|5|11|0.428571|0.752530|1.000000|0.407407|0.006406|0.571429|0.080000|0.500000|1.000000|0.000000|0.081761
1|8|5|12|0.450549|0.698645|1.000000|0.407407|0.722614|0.571429|0.020000|0.500000|1.000000|0.000000|0.018868
1|8|5|13|0.450549|0.698645|1.000000|0.407407|0.722614|0.571429|0.020000|0.500000|1.000000|0.000000|0.018868
1|8|5|14|0.175824|0.984034|1.000000|0.407407|0.048687|0.000000|0.013333|0.500000|1.000000|0.000000|0.012579
1|8|5|15|0.186813|0.978047|1.000000|0.407407|0.325432|0.142857|0.066667|0.500000|1.000000|0.000000|0.062893
1|8|5|16|0.186813|0.978047|1.000000|0.407407|0.325432|0.142857|0.066667|0.500000|1.000000|0.000000|0.062893
1|8|5|17|0.340659|0.780470|1.000000|0.481481|0.260090|0.428571|0.053333|0.500000|1.000000|0.000000|0.062893
1|8|5|18|0.340659|0.780470|1.000000|0.481481|0.260090|0.428571|0.053333|0.500000|1.000000|0.000000|0.062893
1|8|5|19|0.340659|0.780470|1.000000|0.481481|0.260090|0.428571|0.053333|0.500000|1.000000|0.000000|0.062893
1|8|5|20|0.606750|0.621952|1.000000|0.486778|0.209481|0.163286|0.121429|0.500000|1.000000|0.000000|0.125786
1|8|5|21|0.714286|0.568923|1.000000|0.518519|0.534273|0.571429|0.013333|0.500000|1.000000|0.000000|0.012579
1|8|5|22|0.714286|0.568923|1.000000|0.518519|0.534273|0.571429|0.013333|0.500000|1.000000|0.000000|0.012579
1|8|5|23|0.626041|0.615308|1.000000|0.507296|0.306059|0.316000|0.076970|0.500000|1.000000|0.000000|0.075472
1|8|6|0|0.713214|0.568923|1.000000|0.511296|0.514398|0.515714|0.028943|0.500000|1.000000|0.000000|0.029146
1|8|6|1|0.713214|0.568923|1.000000|0.511296|0.514398|0.515714|0.028943|0.500000|1.000000|0.000000|0.029146
1|8|6|2|0.713214|0.568923|1.000000|0.511296|0.514398|0.515714|0.028943|0.500000|1.000000|0.000000|0.029146
1|8|6|3|0.713214|0.568923|1.000000|0.511296|0.514398|0.515714|0.028943|0.500000|1.000000|0.000000|0.029146
1|8|6|4|0.713214|0.568923|1.000000|0.511296|0.514398|0.515714|0.028943|0.500000|1.000000|0.000000|0.029146
1|8|6|5|0.626374|0.610833|1.000000|0.555556|0.275464|0.000000|0.066667|0.500000|1.000000|0.000000|0.062893
1|8|6|6|0.626374|0.610833|1.000000|0.555556|0.275464|0.000000|0.066667|0.500000|1.000000|0.000000|0.062893
1|8|6|7|0.626374|0.610833|1.000000|0.555556|0.275464|0.000000|0.066667|0.500000|1.000000|0.000000|0.062893
1|8|6|8|0.626374|0.610833|1.000000|0.555556|0.275464|0.000000|0.066667|0.500000|1.000000|0.000000|0.062893
1|8|6|9|0.780220|0.552957|1.000000|0.518519|0.308776|0.285714|0.166667|0.500000|1.000000|0.000000|0.169811
1|8|6|10|0.780220|0.552957|1.000000|0.518519|0.308776|0.285714|0.166667|0.500000|1.000000|0.000000|0.169811
1|8|6|11|0.780220|0.552957|1.000000|0.518519|0.308776|0.285714|0.166667|0.500000|1.000000|0.000000|0.169811
1|8|6|12|0.780220|0.552957|1.000000|0.518519|0.308776|0.285714|0.166667|0.500000|1.000000|0.000000|0.169811
1|8|6|13|0.241758|0.856308|1.000000|0.407407|0.006406|0.285714|0.066667|0.500000|1.000000|0.000000|0.069182
1|8|6|14|0.241758|0.856308|1.000000|0.407407|0.006406|0.285714|0.066667|0.500000|1.000000|0.000000|0.069182
1|8|6|15|0.142857|0.980043|0.000000|0.444444|0.040999|0.428571|0.046667|0.500000|1.000000|0.000000|0.044025
1|8|6|16|0.142857|0.980043|0.000000|0.444444|0.040999|0.428571|0.046667|0.500000|1.000000|0.000000|0.044025
1|8|6|17|0.264445|0.802938|0.500000|0.493444|0.274390|0.147429|0.043656|0.500000|1.000000|0.000000|0.051735
1|8|6|18|0.362637|0.744946|1.000000|0.451852|0.455349|0.342857|0.040000|0.500000|1.000000|0.000000|0.037736
1|8|6|19|0.373626|0.743472|0.500000|0.484333|0.053861|0.241714|0.055385|0.500000|1.000000|0.000000|0.059507
1|8|6|20|0.428571|0.738559|1.000000|0.407407|0.014094|0.285714|0.040000|0.500000|1.000000|0.000000|0.037736
1|8|6|21|0.428571|0.696649|0.500000|0.407407|0.319026|0.428571|0.040000|0.500000|1.000000|0.000000|0.037736
1|8|6|22|0.428571|0.696649|0.500000|0.407407|0.319026|0.428571|0.040000|0.500000|1.000000|0.000000|0.037736
1|8|6|23|0.366071|0.732073|1.000000|0.430556|0.299407|0.196429|0.051250|0.500000|1.000000|0.000000|0.052673
1|8|7|0|0.428571|0.738559|1.000000|0.407407|0.014094|0.285714|0.040000|0.500000|1.000000|0.000000|0.037736
1|8|7|1|0.505972|0.649012|1.000000|0.421889|0.255912|0.037286|0.038261|0.500000|1.000000|0.000000|0.042384
1|8|7|2|0.417582|0.706628|1.000000|0.407407|0.379244|0.428571|0.033333|0.500000|1.000000|0.000000|0.037736
1|8|7|3|0.417582|0.706628|1.000000|0.407407|0.379244|0.428571|0.033333|0.500000|1.000000|0.000000|0.037736
1|8|7|4|0.428571|0.738559|1.000000|0.407407|0.014094|0.285714|0.040000|0.500000|1.000000|0.000000|0.037736
1|8|7|5|0.428571|0.738559|1.000000|0.407407|0.014094|0.285714|0.040000|0.500000|1.000000|0.000000|0.037736
1|8|7|6|0.428571|0.738559|1.000000|0.407407|0.014094|0.285714|0.040000|0.500000|1.000000|0.000000|0.037736
1|8|7|7|0.428571|0.738559|1.000000|0.407407|0.014094|0.285714|0.040000|0.500000|1.000000|0.000000|0.037736
1|8|7|8|0.428571|0.738559|1.000000|0.407407|0.014094|0.285714|0.040000|0.500000|1.000000|0.000000|0.037736
1|8|7|9|0.681319|0.570918|0.000000|0.518519|0.258808|0.428571|0.066667|0.500000|1.000000|0.000000|0.062893
1|8|7|10|0.681319|0.570918|0.000000|0.518519|0.258808|0.428571|0.066667|0.500000|1.000000|0.000000|0.062893
1|8|7|11|0.681319|0.570918|0.000000|0.518519|0.258808|0.428571|0.066667|0.500000|1.000000|0.000000|0.062893
1|8|7|12|0.681319|0.570918|0.000000|0.518519|0.258808|0.428571|0.066667|0.500000|1.000000|0.000000|0.062893
1|8|7|13|0.681319|0.570918|0.000000|0.518519|0.258808|0.428571|0.066667|0.500000|1.000000|0.000000|0.062893
1|8|7|14|0.681319|0.570918|0.000000|0.518519|0.258808|0.428571|0.066667|0.500000|1.000000|0.000000|0.062893
1|8|7|15|0.681319|0.570918|0.000000|0.518519|0.258808|0.428571|0.066667|0.500000|1.000000|0.000000|0.062893
1|8|7|16|0.274725|0.776478|1.000000|0.407407|0.544523|0.571429|0.160000|0.500000|1.000000|0.000000|0.157233
1|8|7|17|0.274725|0.776478|1.000000|0.407407|0.544523|0.571429|0.160000|0.500000|1.000000|0.000000|0.157233
1|8|7|18|0.736264|0.704632|1.000000|0.518519|0.567585|0.285714|0.026667|0.500000|1.000000|0.000000|0.031447
1|8|7|19|0.318681|0.757319|1.000000|0.496296|0.028956|0.257143|0.240000|0.500000|1.000000|0.000000|0.244025
1|8|7|20|0.318681|0.757319|1.000000|0.496296|0.028956|0.257143|0.240000|0.500000|1.000000|0.000000|0.244025
1|8|7|21|0.208791|0.906201|0.500000|0.481481|0.058937|0.000000|0.240000|0.500000|1.000000|0.000000|0.245283
1|8|7|22|0.483516|0.614824|0.750000|0.518519|0.013453|0.428571|0.143333|0.500000|1.000000|0.000000|0.150943
1|8|7|23|0.455199|0.592641|1.000000|0.491444|0.091017|0.324143|0.101282|0.500000|1.000000|0.000000|0.105467
1|8|8|0|0.455199|0.592641|1.000000|0.491444|0.091017|0.324143|0.101282|0.500000|1.000000|0.000000|0.105467
1|8|8|1|0.473930|0.659410|0.255320|0.461000|0.245778|0.288714|0.295745|0.500000|1.000000|0.000000|0.308578
1|8|8|2|0.560963|0.713185|0.880950|0.527333|0.381501|0.285714|0.106032|0.500000|1.000000|0.000000|0.110812
1|8|8|3|0.368132|0.722594|0.750000|0.537037|0.176810|0.285714|0.193333|0.500000|1.000000|0.000000|0.198113
1|8|8|4|0.456543|0.678869|0.431820|0.545444|0.055268|0.409143|0.200909|0.500000|1.000000|0.000000|0.211264
1|8|8|5|0.456543|0.678869|0.431820|0.545444|0.055268|0.409143|0.200909|0.500000|1.000000|0.000000|0.211264
1|8|8|6|0.456543|0.678869|0.431820|0.545444|0.055268|0.409143|0.200909|0.500000|1.000000|0.000000|0.211264
1|8|8|7|0.456543|0.678869|0.431820|0.545444|0.055268|0.409143|0.200909|0.500000|1.000000|0.000000|0.211264
1|8|8|8|0.681319|0.525016|0.500000|0.518519|0.281871|0.571429|0.200000|0.500000|1.000000|0.000000|0.207547
1|8|8|9|0.432653|0.711931|0.814285|0.495222|0.108722|0.481571|0.200000|0.500000|1.000000|0.000000|0.207547
1|8|8|10|0.219780|0.913385|0.500000|0.518519|0.298527|0.114286|0.161333|0.500000|1.000000|0.000000|0.154717
1|8|8|11|0.219780|0.913385|0.500000|0.518519|0.298527|0.114286|0.161333|0.500000|1.000000|0.000000|0.154717
1|8|8|12|0.510989|0.646756|1.000000|0.500000|0.153748|0.285714|0.163333|0.500000|1.000000|0.000000|0.169811
1|8|8|13|0.142857|0.963079|0.000000|0.456778|0.015588|0.285714|0.096667|0.500000|1.000000|0.000000|0.092243
1|8|8|14|0.230769|0.860299|0.500000|0.481481|0.257527|0.428571|0.240000|0.500000|1.000000|0.000000|0.251572
1|8|8|15|0.230769|0.860299|0.500000|0.481481|0.257527|0.428571|0.240000|0.500000|1.000000|0.000000|0.251572
1|8|8|16|0.164835|0.920171|1.000000|0.407407|0.035874|0.285714|0.113333|0.500000|1.000000|0.000000|0.125786
1|8|8|17|0.164835|0.920171|1.000000|0.407407|0.035874|0.285714|0.113333|0.500000|1.000000|0.000000|0.125786
1|8|8|18|0.164835|0.920171|1.000000|0.407407|0.035874|0.285714|0.113333|0.500000|1.000000|0.000000|0.125786
1|8|8|19|0.164835|0.920171|1.000000|0.407407|0.035874|0.285714|0.113333|0.500000|1.000000|0.000000|0.125786
